id,article_id,canonical_topic,keywords,intent,audience,prerequisites,complexity,enriched_at,llm_model
25,1883,Account Management,"{""account ownership"",""group accounts"",""departmental accounts"",IU}",how-to,admin,"{""Understanding IU account policies"",""Knowledge of group or departmental account setup""}",intermediate,2026-02-02 10:59:51.847154,llama3.1:8b
26,1915,Storage Systems,"{Geode,""Indiana University"",""storage system"",""online storage"",""home directory"",supercomputers}",overview,researcher,{},intermediate,2026-02-02 11:00:03.979031,llama3.1:8b
27,1771,Accessing Google at IU My Drive,"{""Google at IU My Drive"",""Research Desktop (RED)"",""IU Globus Web App"",rclone,""Caja file browser""}",overview,researcher,"{""understanding of Research Desktop (RED) environment""}",intermediate,2026-02-02 11:00:21.266542,llama3.1:8b
28,1465,HIPAA Compliance,"{""protected health information"",PHI,""Health Insurance Portability and Accountability Act of 1996"",HIPAA}",reference,faculty,"{""Understanding institutional data classification levels"",""Knowledge of IU's DM-01 policy""}",intermediate,2026-02-02 11:00:35.913488,llama3.1:8b
29,1458,High-Performance Computing,"{Quartz,""HPC cluster"",""Indiana University"",""high-throughput computing""}",overview,researcher,{},intermediate,2026-02-02 11:00:47.232169,llama3.1:8b
30,1472,Unix,"{Unix,UID,GID,""id command""}",how-to,unknown,"{""basic Unix commands""}",intermediate,2026-02-02 11:00:58.904948,llama3.1:8b
31,1479,Data Security,"{SecureMyResearch,cybersecurity,""data protection"",compliance,grants,contracts,""data use agreements""}",overview,researcher,{},intermediate,2026-02-02 11:00:59.912236,llama3.1:8b
32,1981,Unix,"{unix,basics,commands,""file system"",linux,shell,""vi text editor""}",overview,student,{},beginner,2026-02-02 11:01:26.00462,llama3.1:8b
33,9885,Funding Acknowledgement,"{""funding acknowledgement"",""IU cyberinfrastructure"",""grant support""}",reference,researcher,{},intermediate,2026-02-02 11:01:36.844748,llama3.1:8b
34,9968,Research Systems Policy,"{""UITS research systems"",HIPAA,""IU research supercomputers"",Passphrases,""Login and file transfer access""}",overview,researcher,{},unknown,2026-02-02 11:01:49.456999,llama3.1:8b
35,4082,University Information Security Office,"{UISO,""Indiana University"",""Office of the Vice President for Information Technology""}",overview,general,{},unknown,2026-02-02 11:02:00.367996,llama3.1:8b
36,4084,Remote Desktop,"{""Remote Desktop Protocol"",RDP,""Microsoft RDP software""}",how-to,general,{},beginner,2026-02-02 11:02:11.170872,llama3.1:8b
37,1645,Email Security,"{""Exchange account"",""email encryption"",""Office Message Encryption"",""secure message""}",how-to,unknown,"{""basic knowledge of Exchange account settings"",""understanding of email security""}",intermediate,2026-02-02 11:02:26.187024,llama3.1:8b
38,1506,Password Management,"{""IU passphrase"",""passwords vs. passphrases"",""Indiana University account access""}",overview,unknown,{},beginner,2026-02-02 11:02:37.490135,llama3.1:8b
39,9798,Authentication,"{login,username,""Guest accounts"",""University ID"",""IU Health account""}",how-to,unknown,{},beginner,2026-02-02 11:02:48.77914,llama3.1:8b
40,1495,High Performance Computing at IU,"{Slate-Project,""high performance file system"",""centralized storage"",""Indiana University's research supercomputers""}",overview,researcher,{},intermediate,2026-02-02 11:03:01.538287,llama3.1:8b
41,11636,Cloud Hosting,"{""Virtual Server"",""Hosting Services"",""Service Level Expectations"",""IU Data Centers""}",reference,admin,"{""Basic understanding of cloud hosting concepts"",""Familiarity with IU data centers""}",intermediate,2026-02-02 11:03:02.550545,llama3.1:8b
42,1537,SSH,"{""Secure Shell"",""host-to-host authentication"",""user authentication"",""encrypted communications""}",overview,general,{},intermediate,2026-02-02 11:03:26.495607,llama3.1:8b
43,1540,Open Source Software,"{""open source"",""software development"",""Open Source Initiative""}",overview,general,{},beginner,2026-02-02 11:03:36.72002,llama3.1:8b
44,1598,Windows Key,"{""Windows key"",""Windows operating system"",""keyboard keys""}",overview,general,{},beginner,2026-02-02 11:03:46.81988,llama3.1:8b
45,1580,IU Email,"{""Indiana University email"",username,@iu.edu,""campus affiliation""}",overview,student,{},beginner,2026-02-02 11:03:57.625599,llama3.1:8b
46,11646,Zoom,"{zoom,""indiana university"",""microsoft teams room""}",reference,unknown,{},intermediate,2026-02-02 11:04:07.912772,llama3.1:8b
47,1657,UA Technology Support,"{""UA Technology Support"",TechSelect,""IT support"",faculty,staff}",overview,unknown,{},unknown,2026-02-02 11:04:19.184539,llama3.1:8b
48,1662,Data Protection,"{""sensitive data"",""personal data"",""Indiana University"",""data protection laws"",""university policy""}",overview,unknown,{},intermediate,2026-02-02 11:04:31.377763,llama3.1:8b
49,10420,Accessibility,"{""assistive technology"",""IU resources"",""engaging eReader"",""Ally alternative formats"",""Microsoft Editor"",""Microsoft Edge PDF Reader""}",overview,unknown,{},beginner,2026-02-02 11:04:45.077066,llama3.1:8b
50,10426,Zoom Security,"{Zoombombing,""Zoom privacy"",""security features""}",how-to,faculty,{},intermediate,2026-02-02 11:04:55.538722,llama3.1:8b
51,1664,OnBase,"{OnBase,IU,""document management system"",Hyland}",overview,admin,{},intermediate,2026-02-02 11:04:56.551784,llama3.1:8b
52,1673,Data Sharing and Handling,"{""Data Sharing and Handling"",""DSH tool"",""institutional data"",""data management""}",overview,admin,{},intermediate,2026-02-02 11:05:18.380898,llama3.1:8b
53,1674,Qualtrics Survey Tool,"{Qualtrics,IU,""University account"",""survey tool""}",overview,student,{},beginner,2026-02-02 11:05:29.308065,llama3.1:8b
54,1676,IUanyWare,"{IUanyWare,""client virtualization service""}",overview,unknown,{},beginner,2026-02-02 11:05:39.84718,llama3.1:8b
55,1684,Windows Hosting Environment,"{""Windows Hosting Environment"",WHE,IIS,ColdFusion,"".NET Framework""}",overview,unknown,{},intermediate,2026-02-02 11:05:52.225315,llama3.1:8b
56,10494,Cloud Storage,"{""Microsoft OneDrive"",""SharePoint Online"",""file request""}",overview,faculty,{},intermediate,2026-02-02 11:06:02.514955,llama3.1:8b
57,1678,Grant Proposal Writing,"{cyberinfrastructure,""facilities statements"",""NSF proposals"",""NIH proposals""}",overview,unknown,{},intermediate,2026-02-02 11:06:14.447287,llama3.1:8b
58,2398,Microsoft OneDrive at IU,"{OneDrive,IU,storage,limits}",overview,student,{},beginner,2026-02-02 11:06:25.089527,llama3.1:8b
59,1690,Data Protection Service,"{""IU's Data Protection Service"",DPS,""data management solution"",""IU's Intelligent Infrastructure"",""II environment"",""crash-consistent snapshots""}",overview,admin,{},intermediate,2026-02-02 11:06:38.416611,llama3.1:8b
60,1695,Office Message Encryption,"{""Office Message Encryption"",OME,""email encryption"",""data protection""}",overview,faculty,{},intermediate,2026-02-02 11:06:49.146408,llama3.1:8b
61,1700,Kaltura,"{IU,""Indiana University"",""video management system"",Canvas}",overview,unknown,{},beginner,2026-02-02 11:06:50.159497,llama3.1:8b
62,1702,University Information Policy Office,"{UIPO,OVPIT,""Information Technology Policy""}",reference,general,{},unknown,2026-02-02 11:07:10.928988,llama3.1:8b
63,11652,Microsoft Teams Calls,"{""Microsoft Teams"",calls,""location services"",Windows,macOS,""office phone number"",911}",overview,unknown,{},beginner,2026-02-02 11:07:23.631847,llama3.1:8b
64,1765,Single Sign-On (SSO),"{""IU Login"",""single sign-on"",""University accounts"",One.IU,Canvas,Timekeeping}",overview,unknown,{},intermediate,2026-02-02 11:07:36.845461,llama3.1:8b
65,11654,Computational Architecture,"{microprocessor,""multi-core technology"",cores,chips,sockets}",overview,student,{},beginner,2026-02-02 11:07:47.982301,llama3.1:8b
66,11655,Data Warehouse Best Practices,"{""Data Warehouse naming standards"",""EDSD Support Form"",""naming conventions""}",reference,admin,"{""data warehouse basics""}",intermediate,2026-02-02 11:07:59.529888,llama3.1:8b
67,1768,IU Google Accounts,"{""google account"",""iu google accounts"",""multiple accounts"",""switching between accounts""}",how-to,unknown,{},intermediate,2026-02-02 11:08:11.843337,llama3.1:8b
68,11657,Toshiba Printers,"{""Toshiba printers"",""multifunction printers"",printing,copying,scanning}",overview,unknown,{},intermediate,2026-02-02 11:08:24.332655,llama3.1:8b
69,1819,University Accounts,"{""University account"",""IU username"",""IU passphrase"",""Network ID""}",overview,student,{},beginner,2026-02-02 11:08:34.971799,llama3.1:8b
70,1525,IU Research HPC,"{IU,research,HPC,storage,supercomputer,account,""project allocation""}",overview,researcher,{},beginner,2026-02-02 11:08:47.333727,llama3.1:8b
71,1871,IU Computing Accounts,"{""IU computing accounts"",""account lifecycle"",""Indiana University""}",overview,student,"{""admission to Indiana University"",""understanding of IU computing resources""}",intermediate,2026-02-02 11:08:48.346165,llama3.1:8b
72,1884,IU Active Directory Services,"{""Indiana University"",""ADS domain account"",""University account"",""passphrase synchronization""}",overview,student,{},beginner,2026-02-02 11:09:12.668514,llama3.1:8b
73,1892,IU Accounts,"{""sponsored accounts"",""conference participants"",""IU network"",""Student Technology Centers"",""Residential Technology Centers""}",overview,unknown,{},beginner,2026-02-02 11:09:25.077661,llama3.1:8b
74,1934,Academic Supercomputing at IU,"{supercomputers,IU,""research technologies"",cyberinfrastructure,""Big Red 200"",Quartz}",overview,unknown,{},intermediate,2026-02-02 11:09:38.707213,llama3.1:8b
75,2103,Visualization Tools,"{visualization,graphics,software,IU,AVL}",reference,researcher,{},intermediate,2026-02-02 11:09:49.417777,llama3.1:8b
76,1968,Research Storage,"{Geode-Project,""Research Technologies"",""disk-based persistent storage"",""research supercomputers"",""IU data centers""}",overview,researcher,"{""understanding of IU research computing infrastructure""}",intermediate,2026-02-02 11:10:04.516588,llama3.1:8b
77,2067,Unix File System Management,"{umask,""Unix permissions"",""directory creation"",""file protection""}",how-to,faculty,"{""Unix basics"",""permissions concepts""}",intermediate,2026-02-02 11:10:16.799754,llama3.1:8b
78,2148,UITS Research Technologies 3D Initiative,"{""3D photogrammetry"",Goscans,Matterport,IU3D}",overview,researcher,{},unknown,2026-02-02 11:10:29.223671,llama3.1:8b
79,2275,Exchange Online,"{""Exchange Online"",""IU Email"",""Email Access""}",overview,student,{},beginner,2026-02-02 11:10:39.191272,llama3.1:8b
80,2283,Kuali Enterprise Workflow,"{""Kuali Enterprise Workflow"",""IU community"",""electronic routing infrastructure"",""workflow engine"",eDocs}",overview,general,{},unknown,2026-02-02 11:10:52.571835,llama3.1:8b
81,2286,One.IU,"{One.IU,""IU App Store"",""Task Finder""}",overview,unknown,{},beginner,2026-02-02 11:10:53.58395,llama3.1:8b
82,2295,IU Print,"{""IU Print"",""Indiana University printing"",""universal printing"",""on-campus printing""}",overview,unknown,{},beginner,2026-02-02 11:11:15.30147,llama3.1:8b
83,1973,IU Exchange Account Management,"{""IU Exchange account"",""storage space"",""Outlook for Windows"",""Outlook on the web"",""macOS Mail""}",how-to,student,{},intermediate,2026-02-02 11:11:28.062997,llama3.1:8b
84,11662,Google Cloud Services,"{Google,""IU Shared Drives"",""My Drive"",""file management""}",overview,student,{},intermediate,2026-02-02 11:11:39.022058,llama3.1:8b
85,2124,Unix Shell,"{Unix,shell,""command-line interface"",DOS,""graphical interfaces""}",overview,student,"{""basic computer concepts"",""operating system fundamentals""}",intermediate,2026-02-02 11:11:51.757524,llama3.1:8b
86,11663,Google Drive,"{""Google Drive"",""desktop application"",""IU My Drive"",""cloud storage""}",overview,student,{},intermediate,2026-02-02 11:12:02.432363,llama3.1:8b
87,2152,Indiana Spatial Data Portal,"{""Indiana Spatial Data Portal"",ISDP,""geospatial data"",""data portal""}",overview,researcher,{},intermediate,2026-02-02 11:12:15.225396,llama3.1:8b
88,11671,Google at IU,"{""Google at IU"",""My Drive"",""folder ownership transfer"",collaborators}",how-to,student,"{""About Google at IU My Drive""}",intermediate,2026-02-02 11:12:28.882672,llama3.1:8b
89,2186,Two-Step Login,"{Duo,""Two-Step Login"",authentication}",overview,student,"{""IU Login""}",beginner,2026-02-02 11:12:39.817007,llama3.1:8b
90,11001,Data Virtualization,"{Denodo,""Data Virtualization"",IU,""Indiana University"",""data integration""}",overview,admin,{},intermediate,2026-02-02 11:12:52.712689,llama3.1:8b
91,11667,Group Accounts,"{""group accounts"",""Two-Step Login (Duo)"",""UITS recommendations"",Outlook,""IU Login"",""full access""}",how-to,faculty,"{""Understanding IU Login"",""Group Account setup""}",intermediate,2026-02-02 11:12:53.725242,llama3.1:8b
92,1564,IU Storage Systems,"{Slate-Scratch,""Lustre-based file system"",""Indiana University"",""high-performance storage""}",overview,researcher,{},intermediate,2026-02-02 11:13:21.447571,llama3.1:8b
93,2154,Cloud Computing Environments,"{Jetstream2,""cloud computing"",researchers,educators,""data analysis""}",overview,unknown,{},intermediate,2026-02-02 11:13:33.505653,llama3.1:8b
94,2191,Wireless Network Troubleshooting,"{""wireless network"",""IU wireless"",eduroam,""IU Secure"",""login issues""}",troubleshooting,student,"{""knowledge of IU login credentials"",""basic computer skills""}",beginner,2026-02-02 11:13:47.782712,llama3.1:8b
95,2192,eduroam Wi-Fi,"{eduroam,""Wi-Fi network"",""IU campuses"",""wireless connectivity""}",overview,unknown,{},beginner,2026-02-02 11:14:00.217373,llama3.1:8b
96,2303,Digital Signage,"{""digital signage"",""Indiana University"",IU}",overview,general,{},unknown,2026-02-02 11:14:09.67834,llama3.1:8b
97,2193,IU Wireless,"{eduroam,""IU Secure wireless"",""single sign-on""}",overview,unknown,{},intermediate,2026-02-02 11:14:20.881456,llama3.1:8b
188,10051,IU Research Database Complex,"{MySQL,""IU RDC"",""Research Database Complex""}",overview,researcher,{},beginner,2026-02-02 11:33:46.070015,llama3.1:8b
98,2195,IU Indianapolis Classroom Support,"{""Classroom Technology Services"",""CTS support hours"",""Learning Spaces Support"",""Report a Classroom Technology Issue form""}",reference,unknown,{},beginner,2026-02-02 11:14:33.321317,llama3.1:8b
99,2126,SLURM,"{""temporary work files"",SAS,Stata,""scratch files"",""disk space"",redirect}",how-to,researcher,"{""understanding of SAS and Stata commands""}",intermediate,2026-02-02 11:14:47.003296,llama3.1:8b
100,2197,IU Network Services,"{eduroam,""Indiana University"",""wireless network access""}",reference,unknown,{},intermediate,2026-02-02 11:14:58.157501,llama3.1:8b
101,2199,University Resources,"{""campus teaching and learning center"",""IU Bloomington"",""IU Indianapolis"",""Indiana University""}",overview,faculty,{},unknown,2026-02-02 11:14:59.159772,llama3.1:8b
102,2219,Authentication,"{""Indiana University"",""authentication process"",""login passwords"",""Active Directory"",""Two-Step Login (Duo)"",""IU Login""}",overview,general,{},intermediate,2026-02-02 11:15:22.346249,llama3.1:8b
103,2305,ServiceNow,"{""IT service management"",""workflow automation"",""service tracking"",""hardware asset tracking"",""ticket system integration""}",overview,admin,{},intermediate,2026-02-02 11:15:33.981157,llama3.1:8b
104,10528,Collaboration in Google,"{Google,""IU Shared Drives"",""external collaborators"",""Google My Drive quota""}",how-to,faculty,"{""logging into Google at IU"",""understanding IU Shared Drives""}",intermediate,2026-02-02 11:15:47.851386,llama3.1:8b
105,9967,IU Research Computing,"{""research computing"",IU,HPC,supercomputers,RADL}",overview,researcher,"{""log in to IU research supercomputers""}",beginner,2026-02-02 11:16:00.790696,llama3.1:8b
106,2416,Unix,"{Makefiles,""make utility"",""configuration file"",""Unix compilation"",""compiler options""}",overview,student,"{""basic Unix commands"",""compiling programs in Unix""}",intermediate,2026-02-02 11:16:15.835531,llama3.1:8b
107,2279,Version Control,"{Git,GitHub,IU,""version control system""}",overview,general,{},beginner,2026-02-02 11:16:26.093095,llama3.1:8b
108,2288,Certificate Authorities,"{""IU Enterprise Certificate Authority"",ECA,""digital certificates"",""Active Directory Services"",""InCommon Certificate Service""}",overview,admin,{},intermediate,2026-02-02 11:16:39.451994,llama3.1:8b
109,2291,Lecture Capture,"{Kaltura,IU,""Indiana University"",Canvas,""Learning Spaces & Technology Services""}",overview,faculty,{},intermediate,2026-02-02 11:16:50.874461,llama3.1:8b
110,2302,IU Enterprise Tools,"{""IU Enterprise Jira"",""Jira Cloud"",""Agile issue management"",""project collaboration""}",overview,unknown,{},intermediate,2026-02-02 11:17:02.597021,llama3.1:8b
111,11672,Google Assignments,"{""Google Assignments"",""Google Drive"",""Learning Management Systems"",Canvas}",overview,unknown,{},intermediate,2026-02-02 11:17:03.609073,llama3.1:8b
112,9972,HPC_LLM_Platform,"{HPC_LLM_platform,IU_research_supercomputers,large_language_models,generative_artificial_intelligence,AI,research_purposes}",overview,researcher,{},intermediate,2026-02-02 11:17:31.08068,llama3.1:8b
113,9980,Research Technologies Services,"{""Compute resources"",""Storage resources"",""Cloud computing"",Jetstream2,""IU research supercomputers""}",overview,researcher,{},intermediate,2026-02-02 11:17:43.230152,llama3.1:8b
114,2316,IU Log-Alert Service,"{Log-Alert,IU,IT-12,""Security of Information Technology Resources""}",overview,admin,{},intermediate,2026-02-02 11:17:54.796709,llama3.1:8b
115,2338,HIPAA Compliance,"{HIPAA,""Health Insurance Portability and Accountability Act"",""IU HIPAA Training""}",overview,admin,{},intermediate,2026-02-02 11:18:05.901214,llama3.1:8b
116,11673,Google at IU,"{""IU username"",passphrase,""Google at IU"",""My Drive"",""Shared with me"",""Google Drive for desktop""}",how-to,student,{},beginner,2026-02-02 11:18:20.436561,llama3.1:8b
117,2364,NFS,"{""Network File System"",""client/server system"",""Sun Microsystems""}",overview,student,{},intermediate,2026-02-02 11:18:30.594461,llama3.1:8b
118,2414,OneDrive Storage Management,"{""Microsoft OneDrive"",""IU storage management"",""storage limits""}",overview,student,{},intermediate,2026-02-02 11:18:41.152253,llama3.1:8b
119,11674,Google Drive at IU,"{IU,""Google Drive"",""storage footprint"",quota}",reference,unknown,{},intermediate,2026-02-02 11:18:52.049416,llama3.1:8b
120,2405,SharePoint Online,"{""SharePoint Online"",collaboration,""document repositories"",""Microsoft 365 integration"",""search capabilities""}",overview,faculty,{},intermediate,2026-02-02 11:19:05.449701,llama3.1:8b
121,2395,REDCap,"{""IU REDCap"",""production mode"",""project setup""}",how-to,faculty,"{""Understanding IU REDCap project setup"",""Creating and refining a data collection instrument""}",intermediate,2026-02-02 11:19:06.457752,llama3.1:8b
122,2394,IU REDCap,"{""IU REDCap"",""account request"",""project creation""}",how-to,researcher,"{""IU REDCap account"",""IU REDCap user agreement understanding""}",intermediate,2026-02-02 11:19:31.591147,llama3.1:8b
123,2407,Microsoft OneDrive at IU,"{""Microsoft OneDrive"",IU,""shared content"",Teams}",how-to,unknown,"{""creating a Microsoft Teams instance"",""sharing sites in OneDrive at IU""}",intermediate,2026-02-02 11:19:45.603319,llama3.1:8b
124,2426,Active Directory,"{""Active Directory"",ADS,""Microsoft Windows"",""IU ADS domain""}",overview,admin,{},intermediate,2026-02-02 11:19:56.077626,llama3.1:8b
125,9970,Research Computing at IU,"{""research computing"",""IU support"",""system-specific help""}",overview,researcher,{},unknown,2026-02-02 11:20:06.371827,llama3.1:8b
126,10656,ArcGIS StoryMaps,"{ArcGIS,StoryMaps,IU,""geographic information systems"",""web-based application""}",overview,faculty,{},intermediate,2026-02-02 11:20:18.230779,llama3.1:8b
127,2448,IU Wireless Network,"{""IU Guest"",eduroam,""IU Secure"",""wireless network"",""campus visitors""}",overview,general,{},unknown,2026-02-02 11:20:29.891239,llama3.1:8b
128,2455,User Access Management,"{""access management"",""institutional data"",""data access"",""application access"",""acceptable use agreement""}",how-to,faculty,"{""computing account creation"",""Acceptable Use Agreement completion""}",intermediate,2026-02-02 11:20:44.586424,llama3.1:8b
219,10352,Generative AI,"{IU,""AI tools"",Gemini,""generative ai""}",overview,general,{},intermediate,2026-02-02 11:40:24.520451,llama3.1:8b
129,2369,Compiling Programs,"{""Big Red 200"",""programming environments"",""Cray Compiler"",""Intel Compiler"",""NVIDIA HPC"",""GNU Compiler Collection (GCC)""}",overview,researcher,{},intermediate,2026-02-02 11:20:58.021323,llama3.1:8b
130,2428,Account Creation,"{""IU account"",""computing account"",""university ID"",username,passphrase,One.IU}",overview,unknown,{},beginner,2026-02-02 11:21:10.136386,llama3.1:8b
131,11677,IU Google Suite,"{""Google at IU"",""IU Google Suite"",""productivity tools"",""collaboration tools"",""mobile apps""}",overview,unknown,{},beginner,2026-02-02 11:21:11.148429,llama3.1:8b
132,4072,SSL VPN,"{""group accounts"",""SSL VPN"",""University Information Security Office""}",reference,admin,"{""understanding of group accounts and SSL VPN basics""}",intermediate,2026-02-02 11:21:36.744713,llama3.1:8b
133,4083,Knowledge Base,"{""Indiana University"",""Knowledge Base"",login}",how-to,general,{},beginner,2026-02-02 11:21:46.747656,llama3.1:8b
134,2240,Supercomputing at IU,"{""Big Red 200"",""HPE Cray EX"",supercomputer,IU,""Indiana University""}",overview,researcher,{},advanced,2026-02-02 11:21:59.038944,llama3.1:8b
135,10658,IU Laptop Loan Program,"{laptop,loan,program,students,""Indiana University""}",overview,student,{},unknown,2026-02-02 11:22:09.857881,llama3.1:8b
136,9925,SLURM,"{python,""programming language"",""IU research supercomputers""}",overview,researcher,{},intermediate,2026-02-02 11:22:20.316412,llama3.1:8b
137,1574,Slate,"{Slate,IU,Admissions,CRM,Enterprise}",overview,faculty,{},intermediate,2026-02-02 11:22:31.016852,llama3.1:8b
138,1585,Slate,"{""Slate file system"",SLURM,""sensitive data"",workstation,mounting}",how-to,unknown,"{""understand basic computer networking concepts"",""have access to a workstation""}",intermediate,2026-02-02 11:22:45.506162,llama3.1:8b
139,9864,Jupyter Notebook on Quartz,"{""Jupyter Notebook"",Quartz,RED,""X11 forwarding"",""Slate directories""}",how-to,researcher,"{""basic knowledge of Jupyter Notebook"",""access to Quartz and RED""}",intermediate,2026-02-02 11:23:00.869137,llama3.1:8b
140,9852,File Storage,"{""map drive"",""mount drive"",""home directory space"",""Geode-Project space""}",how-to,unknown,"{""understand information in Types of sensitive institutional data appropriate for UITS Research Technologies services"",""Indiana University's research computing and storage systems policies""}",intermediate,2026-02-02 11:23:17.148007,llama3.1:8b
141,1746,HIPAA Compliance,"{HIPAA,PHI,""Privacy Rule"",""Security Rule"",""administrative safeguards"",""physical safeguards"",""technical safeguards""}",overview,researcher,{},intermediate,2026-02-02 11:23:18.159659,llama3.1:8b
142,1757,Running AlphaFold,"{AlphaFold,""IU clusters"",SLURM}",how-to,researcher,"{""understanding of job scheduling with SLURM"",""basic knowledge of IU clusters""}",intermediate,2026-02-02 11:23:43.919091,llama3.1:8b
143,1836,File Transfer,"{Globus,""IU Globus Web App"",""data transfer"",""research computing"",""storage systems""}",how-to,researcher,"{""account on IU's research computing and storage systems"",""understanding of basic file transfer concepts""}",intermediate,2026-02-02 11:23:59.041118,llama3.1:8b
144,10666,UITS Accounts,"{""UITS accounts"",""storage space allotments"",""Indiana University""}",reference,unknown,{},intermediate,2026-02-02 11:24:09.771604,llama3.1:8b
145,2432,IUIE Accounts,"{IUIE,""affiliate accounts"",""sponsored accounts"",""Indiana University""}",how-to,unknown,"{""Sponsor a computing account for an IU affiliate""}",intermediate,2026-02-02 11:24:22.813501,llama3.1:8b
146,2389,Job Scheduling,"{""batch job"",crash,""core file"",""stack size limit"",ulimit,bash,ksh}",troubleshooting,researcher,"{""basic Linux commands"",""understanding of batch jobs""}",intermediate,2026-02-02 11:24:37.752648,llama3.1:8b
147,10034,MATLAB on Quartz,"{MATLAB,Quartz,IU,Slurm,""interactive job"",""batch mode""}",overview,researcher,"{""basic knowledge of MATLAB"",""familiarity with Slurm"",""access to IU Quartz resources""}",intermediate,2026-02-02 11:24:53.060053,llama3.1:8b
